comparison,dataset,metric,reference_value,current_value,delta,notes
reference_vs_current,fact_servicio_dia,rows,1125,1126,1.0,
reference_vs_current,fact_servicio_dia,columns,43,43,0.0,
reference_vs_current,fact_servicio_dia,date_min,2021-03-22,2021-03-22,,
reference_vs_current,fact_servicio_dia,date_max,2026-12-07,2026-12-07,,
reference_vs_current,fact_servicio_dia,unique_dates,1125,1126,1.0,
reference_vs_current,fact_servicio_dia,gap_days,962,961,-1.0,
reference_vs_current,fact_servicio_dia,sum::n_entregas_SGE_dia,3336.0,3336.0,0.0,
reference_vs_current,fact_servicio_dia,sum::n_entregas_SGP_dia,11351.0,11353.0,2.0,
reference_vs_current,fact_servicio_dia,sum::n_recogidas_EGE_dia,2659.0,2659.0,0.0,
reference_vs_current,fact_servicio_dia,sum::n_servicios_total_dia,23213.0,23215.0,2.0,
reference_vs_current,fact_servicio_dia,distribution::mean_daily,20.633777777777777,20.617229129662523,-0.01654864811525414,
reference_vs_current,fact_servicio_dia,distribution::median_daily,19.0,19.0,0.0,
reference_vs_current,fact_servicio_dia,distribution::p95_daily,49.0,49.0,0.0,
reference_vs_current,fact_servicio_dia,distribution::tail30_zero_ratio,0.0,0.0,0.0,
reference_vs_current,fact_picking_dia,rows,830,832,2.0,
reference_vs_current,fact_picking_dia,columns,9,9,0.0,
reference_vs_current,fact_picking_dia,date_min,2022-01-03,2022-01-03,,
reference_vs_current,fact_picking_dia,date_max,2026-03-27,2026-03-31,,
reference_vs_current,fact_picking_dia,unique_dates,830,832,2.0,
reference_vs_current,fact_picking_dia,gap_days,715,717,2.0,
reference_vs_current,fact_picking_dia,sum::picking_lines_PI_dia,66302.0,66395.0,93.0,
reference_vs_current,fact_picking_dia,sum::picking_units_PI_dia,3714354.369,3721172.119,6817.75,
reference_vs_current,fact_picking_dia,distribution::mean_daily,4475.1257457831325,4472.562643028846,-2.563102754286774,
reference_vs_current,fact_picking_dia,distribution::median_daily,3702.7780000000002,3702.7780000000002,0.0,
reference_vs_current,fact_picking_dia,distribution::p95_daily,10907.013099999996,10899.628899999994,-7.384200000002238,
reference_vs_current,fact_picking_dia,distribution::tail30_zero_ratio,0.0,0.0,0.0,
reference_vs_current,fact_cartera,rows,1714,1716,2.0,
reference_vs_current,fact_cartera,columns,11,11,0.0,
reference_vs_current,fact_cartera,date_min,2025-11-03,2025-11-03,,
reference_vs_current,fact_cartera,date_max,2026-12-07,2026-12-07,,
reference_vs_current,fact_cartera,unique_dates,152,153,1.0,
reference_vs_current,fact_cartera,gap_days,248,247,-1.0,
reference_vs_current,fact_cartera,sum::lineas_solicitadas,5302.0,5313.0,11.0,
reference_vs_current,fact_cartera,sum::unidades_solicitadas,1195473.0,1196169.0,696.0,
reference_vs_current,fact_cartera,sum::kg_solicitados,3294205.801,3295156.4009999996,950.5999999996275,
reference_vs_current,fact_cartera,sum::m3_solicitados,16267.111033,16390.978917,123.86788400000114,
reference_vs_current,fact_cartera,distribution::mean_daily,34.88157894736842,34.72549019607843,-0.15608875128998534,
reference_vs_current,fact_cartera,distribution::median_daily,23.0,23.0,0.0,
reference_vs_current,fact_cartera,distribution::p95_daily,117.24999999999994,117.00000000000003,-0.24999999999991473,
reference_vs_current,fact_cartera,distribution::tail30_zero_ratio,0.0,0.0,0.0,
