comparison,dataset,metric,reference_value,current_value,delta,notes
reference_vs_current,albaranes,rows,22738,22738,0.0,
reference_vs_current,albaranes,columns,23,23,0.0,
reference_vs_current,albaranes,missing_columns_in_current_count,0,0,0.0,
reference_vs_current,albaranes,new_columns_in_current_count,0,0,0.0,
reference_vs_current,albaranes,canonical_present::cajas_in,1,1,0.0,
reference_vs_current,albaranes,null_rate::cajas_in,0.9657401706394582,0.9657401706394582,0.0,
reference_vs_current,albaranes,canonical_present::cajas_out,1,1,0.0,
reference_vs_current,albaranes,null_rate::cajas_out,0.644647726273199,0.644647726273199,0.0,
reference_vs_current,albaranes,canonical_present::concepto_denominacion_evento_asociado,1,1,0.0,
reference_vs_current,albaranes,null_rate::concepto_denominacion_evento_asociado,0.0001319377253936142,0.0001319377253936142,0.0,
reference_vs_current,albaranes,canonical_present::cp,1,1,0.0,
reference_vs_current,albaranes,null_rate::cp,0.07151024716333891,0.07151024716333891,0.0,
reference_vs_current,albaranes,canonical_present::descripcion,1,1,0.0,
reference_vs_current,albaranes,null_rate::descripcion,0.00017591696719148562,0.00017591696719148562,0.0,
reference_vs_current,albaranes,canonical_present::dpto_mahou,1,1,0.0,
reference_vs_current,albaranes,null_rate::dpto_mahou,0.0005277509015744568,0.0005277509015744568,0.0,
reference_vs_current,albaranes,canonical_present::embalaje_con_manipulacion,1,1,0.0,
reference_vs_current,albaranes,null_rate::embalaje_con_manipulacion,0.7940012314187703,0.7940012314187703,0.0,
reference_vs_current,albaranes,canonical_present::fecha_servicio,1,1,0.0,
reference_vs_current,albaranes,null_rate::fecha_servicio,0.0,0.0,0.0,
reference_vs_current,albaranes,canonical_present::festivo,1,1,0.0,
reference_vs_current,albaranes,null_rate::festivo,0.15814935350514558,0.15814935350514558,0.0,
reference_vs_current,albaranes,canonical_present::item,1,1,0.0,
reference_vs_current,albaranes,null_rate::item,0.0,0.0,0.0,
reference_vs_current,albaranes,canonical_present::m3_in,1,1,0.0,
reference_vs_current,albaranes,null_rate::m3_in,0.907995426158853,0.907995426158853,0.0,
reference_vs_current,albaranes,canonical_present::m3_out,1,1,0.0,
reference_vs_current,albaranes,null_rate::m3_out,0.8901398539889173,0.8901398539889173,0.0,
reference_vs_current,albaranes,canonical_present::no_operarios_sin_contar_chofer,1,1,0.0,
reference_vs_current,albaranes,null_rate::no_operarios_sin_contar_chofer,0.15850118743952854,0.15850118743952854,0.0,
reference_vs_current,albaranes,canonical_present::noches_desplazam_x_operario,1,1,0.0,
reference_vs_current,albaranes,null_rate::noches_desplazam_x_operario,0.9998240830328086,0.9998240830328086,0.0,
reference_vs_current,albaranes,canonical_present::pales_in,1,1,0.0,
reference_vs_current,albaranes,null_rate::pales_in,0.8811680886621515,0.8811680886621515,0.0,
reference_vs_current,albaranes,canonical_present::pales_out,1,1,0.0,
reference_vs_current,albaranes,null_rate::pales_out,0.7361245492127716,0.7361245492127716,0.0,
reference_vs_current,albaranes,canonical_present::peso_kg_raw,1,1,0.0,
reference_vs_current,albaranes,null_rate::peso_kg_raw,0.15854516668132643,0.15854516668132643,0.0,
reference_vs_current,albaranes,canonical_present::provincia_destino,1,1,0.0,
reference_vs_current,albaranes,null_rate::provincia_destino,0.15814935350514558,0.15814935350514558,0.0,
reference_vs_current,albaranes,canonical_present::solicitante_mahou,1,1,0.0,
reference_vs_current,albaranes,null_rate::solicitante_mahou,0.0005717301433723282,0.0005717301433723282,0.0,
reference_vs_current,albaranes,canonical_present::tiempo_reloj_carga_y_descarga_horas,1,1,0.0,
reference_vs_current,albaranes,null_rate::tiempo_reloj_carga_y_descarga_horas,0.15845720819773068,0.15845720819773068,0.0,
reference_vs_current,albaranes,canonical_present::tiempo_reloj_transporte_horas,1,1,0.0,
reference_vs_current,albaranes,null_rate::tiempo_reloj_transporte_horas,0.15836924971413494,0.15836924971413494,0.0,
reference_vs_current,albaranes,canonical_present::urgencia,1,1,0.0,
reference_vs_current,albaranes,null_rate::urgencia,0.15814935350514558,0.15814935350514558,0.0,
reference_vs_current,albaranes,canonical_present::volumen,1,1,0.0,
reference_vs_current,albaranes,null_rate::volumen,0.15863312516492215,0.15863312516492215,0.0,
reference_vs_current,albaranes,date_non_null_pct::fecha_servicio,1.0,1.0,0.0,
reference_vs_current,albaranes,date_min::fecha_servicio,2021-03-22,2021-03-22,,
reference_vs_current,albaranes,date_max::fecha_servicio,2026-02-28,2026-02-28,,
